"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,68455,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.22,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,72739,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.35,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,76198,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.46,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,78922,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.53,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,79640,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.5,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,18677,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.86,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,18615,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.83,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,19188,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,2.9,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,21143,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,3.18,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,21730,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.25,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,21182,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.14,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,21024,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.08,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,21570,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.11,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,21992,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.12,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,24348,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.41,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,25468,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.53,,
"2","Large regions (TL2)","AU1","New South Wales","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,25566,,
"2","Large regions (TL2)","AU1","New South Wales","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.5,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,14147,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.97,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,14738,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,3.06,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,14782,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.03,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,15513,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,3.15,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,15831,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.17,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,16489,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.26,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,17016,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.3,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,17303,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.29,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,18118,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.37,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,18704,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.42,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,19437,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.51,,
"2","Large regions (TL2)","AU2","Victoria","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,19621,,
"2","Large regions (TL2)","AU2","Victoria","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.47,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,8453,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.37,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,8159,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.23,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,9173,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,2.45,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,8632,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.25,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,9352,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.39,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,9774,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,2.44,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,12204,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,2.97,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,13299,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.15,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,14807,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.42,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,15200,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.45,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,15656,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.5,,
"2","Large regions (TL2)","AU3","Queensland","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,15897,,
"2","Large regions (TL2)","AU3","Queensland","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.48,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,4586,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,3.05,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,4710,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,3.12,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,4928,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.24,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,4945,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,3.24,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,4938,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.21,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,5110,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.29,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,5371,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.42,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,5535,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.48,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,5749,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.57,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,6137,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.77,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,6337,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.86,,
"2","Large regions (TL2)","AU4","South Australia","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,6296,,
"2","Large regions (TL2)","AU4","South Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.8,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,4529,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.38,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,4648,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.41,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,4709,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,2.41,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,4814,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.43,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,4881,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.43,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,6315,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.08,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,7713,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.66,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,6857,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.16,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,7557,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.37,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,7600,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.32,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,7671,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.26,,
"2","Large regions (TL2)","AU5","Western Australia","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,7906,,
"2","Large regions (TL2)","AU5","Western Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.26,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,1212,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.56,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,1217,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.57,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,1338,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,2.8,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,1392,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.88,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,1438,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.96,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,1350,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,2.76,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,1540,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.12,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,1500,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.01,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,1844,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,3.66,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,1778,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,3.49,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,1814,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,3.55,,
"2","Large regions (TL2)","AU6","Tasmania","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,1777,,
"2","Large regions (TL2)","AU6","Tasmania","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2012","2012",,,"0","Units",,,3.47,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,647,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,3.21,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,684,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,3.38,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,886,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,4.39,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,487,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.4,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,719,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,3.49,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,866,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,4.14,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,898,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,4.2,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2008","2008",,,"0","Units",,,832,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2008","2008",,,"0","Units",,,3.78,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2009","2009",,,"0","Units",,,1002,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2009","2009",,,"0","Units",,,4.43,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2010","2010",,,"0","Units",,,934,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2010","2010",,,"0","Units",,,4.06,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2011","2011",,,"0","Units",,,974,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2011","2011",,,"0","Units",,,4.21,,
"2","Large regions (TL2)","AU7","Northern Territory","DOC","Active Physicians (number)","ALL","All regions","2012","2012",,,"0","Units",,,1008,,
